post url,post title,post price,post location
https://newyork.craigslist.org/brk/apa/d/brooklyn-br-balconies-jan-move-in-prime/7694961896.html,2 BR + Balconies 🩵 JAN 1 MOVE IN | PRIME BUSHWICK,"$2,900",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-br-2ba-must-see-bushwick-train/7694961801.html,🔥 3 BR/2BA | MUST SEE | Bushwick L train,"$2,900",Bushwick
https://newyork.craigslist.org/brk/apa/d/brooklyn-rent-stabilized-bed-with/7694961814.html,Rent Stabilized (!) 1 Bed with Amenities by Grand L train,"$3,788",Williamsburg
https://newyork.craigslist.org/brk/apa/d/brooklyn-2br-2ba-private-yard-laundry/7694961705.html,🌶️2BR-2BA + PRIVATE YARD +  LAUNDRY IN UNIT,"$3,500",PRIME BUSHWICK/L @ DEKALB AVE
https://newyork.craigslist.org/wch/apa/d/yonkers-newley-renovated-bedroom/7694959669.html,Newley Renovated 3 Bedroom Apartment,"$2,700",Yonkers
https://newyork.craigslist.org/brk/apa/d/spacious-clean-bed-bath-by-5-trains/7694956472.html,Spacious / Clean (3 bed + 2 bath) By 2/5 Trains @ Newkirk Ave 🚊 ⭐️,"$3,300",Flatbush / Flatlands / Prospect Park South / Canarsie
https://newyork.craigslist.org/que/apa/d/ozone-park-great-for-roommates-bed/7694955494.html,"Great for Roommates (2 Bed) Utilities Included, Close to JFK / A Train","$2,300",Ozone Park / Howard Beach / Woodhaven / East NY
https://newyork.craigslist.org/brk/apa/d/brooklyn-lease-takeover-2br-bushwick/7694954644.html,Lease Takeover 2br Bushwick available Jan 1 - pet friendly; rooftop & backyard,"$2,750","Bushwick, Brooklyn"
https://newyork.craigslist.org/brk/apa/d/sunny-and-spacious-2br-1ba-just-block/7694954690.html,Sunny and Spacious 2BR/1BA just a block from Fort GREENE PARK!,"$3,300",FORT Greene
https://newyork.craigslist.org/mnh/apa/d/new-york-best-price-highest-floor-bd-no/7694953784.html,"Best price highest floor 2 bd! No Fee, Over Size Windows, wash/dry, De","$9,000",Financial District
https://newyork.craigslist.org/brk/apa/d/brooklyn-massive-bedroom-apt-stretch-on/7694953663.html,Massive 3 Bedroom Apt Stretch on a Full Floor with Private Backyard,"$3,150","1176 Halsey Street, Bushwick NY"
https://newyork.craigslist.org/brx/apa/d/bronx-brand-new-large-studio-hasa/7694953158.html,BRAND NEW -  LARGE STUDIO- HASA WELCOME,"$2,200",Bronx
